seed,tolerance_threshold,final_mean_opinion,final_std_opinion,final_mean_abs_opinion,final_opinion_variance,final_extremist_ratio,final_moderate_ratio,final_homophily_ratio,final_cross_cutting_ratio,final_sign_modularity,final_edge_count
53,0.9,-0.004505009278740735,0.5150365122162415,0.43508906899240807,0.2649973463069548,0.23,0.373,0.5122663551401869,0.4877336448598131,0.011743593306551364,3424
54,0.9,0.0096904749385375,0.5266256089438491,0.44870940213329863,0.2770571974634844,0.232,0.366,0.5260250072695551,0.47397499273044486,0.025348214530896473,3439
55,0.9,-0.011966767075357156,0.515694166167245,0.4388186536194204,0.2656745325459111,0.236,0.371,0.5298897272199652,0.4701102727800348,0.028122187427688905,3446
56,0.9,-0.013930641033196065,0.5230616693028823,0.44350511087801364,0.2733199163840239,0.226,0.357,0.5149492017416546,0.4850507982583454,0.013253192718344325,3445
57,0.9,-0.004998734932392212,0.49590530384063153,0.4154289367728053,0.24567614830689183,0.197,0.417,0.5115511551155115,0.4884488448844885,0.01112305923242951,3636
58,0.9,-0.002173998259668107,0.49744230908991877,0.4185945604772808,0.24720140202183757,0.202,0.385,0.5108038029386344,0.48919619706136563,0.010633992925237173,3471
59,0.9,0.024738940173831245,0.5237238989104519,0.44289978001240843,0.2740124355676753,0.238,0.364,0.5091596394300669,0.4908403605699331,0.008722512909955155,3439
60,0.9,0.00849708403032399,0.5019504191791624,0.4195534732160171,0.2517022690908227,0.215,0.4,0.5035149384885764,0.4964850615114236,0.0023172254761137656,3414
61,0.9,0.014241823170204554,0.5101493928142787,0.43132481402601774,0.25999215058578845,0.217,0.37,0.5203816131830009,0.4796183868169991,0.01954099394205208,3459
42,1.0,0.008660639299581845,0.5293012669273716,0.4452594917921581,0.27987967133974967,0.233,0.375,0.5070308274743104,0.4929691725256896,0.006473946051380186,3698
43,1.0,-0.013573997741751203,0.5250017263667707,0.44286753850356503,0.27535118587540147,0.228,0.368,0.5126801152737752,0.4873198847262248,0.009380550304557866,3470
44,1.0,0.014104268595378663,0.5377808501000291,0.44972452836451726,0.28891903449157563,0.232,0.378,0.5233673785205819,0.4766326214794181,0.018274988320185842,3231
45,1.0,0.03836990383208887,0.5406328706301772,0.4604522386295539,0.29199161690502,0.234,0.337,0.5281187553525549,0.4718812446474451,0.018431872985248454,3503
46,1.0,0.011289496299609658,0.5173900536022302,0.43284384765178363,0.2674247750989522,0.207,0.393,0.5142419601837672,0.4857580398162328,0.013225993675985648,3265
47,1.0,-0.012955544839835702,0.529521100004327,0.44512970104034216,0.2801122027544426,0.245,0.384,0.5112899039709318,0.48871009602906823,0.011764343082700662,3853
48,1.0,-0.0027819509388770794,0.544807910631345,0.4621791776841033,0.29651884382700516,0.245,0.337,0.522615960818208,0.47738403918179195,0.02115118672547786,3471
49,1.0,0.02047034573296339,0.5363885228316856,0.4522298581146493,0.2874249347781321,0.225,0.36,0.5049730036942314,0.49502699630576863,0.0033696326530611442,3519
50,1.0,-0.0018629045638948658,0.5359741857467214,0.452036522004937,0.2869810594590741,0.235,0.362,0.5111619919862621,0.4888380080137379,0.00643819662297182,3494
51,1.0,-0.002966130627473001,0.5136667448136092,0.43017473136037515,0.2635896712026821,0.203,0.381,0.5087422447828539,0.4912577552171461,0.008023902218198264,3546
52,1.0,0.01914087864420911,0.50972203558835,0.42594909467255215,0.2595567370107669,0.201,0.396,0.5085284764382769,0.4914715235617231,0.005408801123578666,3459
53,1.0,-0.006051499182700816,0.5208796597423956,0.43365846444744305,0.2710443043134204,0.228,0.394,0.5152934692752824,0.4847065307247176,0.01450054920639196,3629
54,1.0,0.006316190646913164,0.5366680062471367,0.4528327348274208,0.28772453638034745,0.239,0.372,0.522982062780269,0.47701793721973096,0.021238510469929417,3568
